Complaint ID,priority_score,contribution_bp2,contribution_bp3,contribution_bp4
7254902,0.5528349487664956,0.14847598915571592,0.00001782224659702865,0.40434113736418265
25768066,0.5529250328190685,0.14847598915571592,0.00010790629916990285,0.40434113736418265
7482556,0.5528442509304055,0.14847598915571592,0.000027124410506937206,0.40434113736418265
7098183,0.47861854001458204,0.07423799457785796,0.00003940807254141201,0.40434113736418265
7224915,0.5528559592585531,0.14847598915571592,0.000038832738654511265,0.40434113736418265
6940547,0.5528559592585531,0.14847598915571592,0.000038832738654511265,0.40434113736418265
26234426,0.5528464888165513,0.14847598915571592,0.00002936229665277464,0.40434113736418265
6965567,0.4786524860260384,0.07423799457785796,0.00007335408399781077,0.40434113736418265
27200720,0.5529370258792643,0.14847598915571592,0.0001198993593657571,0.40434113736418265
7417575,0.552974602885371,0.14847598915571592,0.00015747636547254224,0.40434113736418265
6899669,0.5529561765747237,0.14847598915571592,0.0001390500548251391,0.40434113736418265
7300004,0.5528515820326356,0.14847598915571592,0.00003445551273707316,0.40434113736418265
7065091,0.48644599159661484,0.07423799457785796,0.00786685965457426,0.40434113736418265
26520956,0.552850343616218,0.14847598915571592,0.00003321709631936044,0.40434113736418265
27282757,0.5528446952228383,0.14847598915571592,0.000027568702939799912,0.40434113736418265
6881886,0.5528584462479648,0.14847598915571592,0.00004131972806619458,0.40434113736418265
27349972,0.5528232208266131,0.14847598915571592,6.094306714518698e-6,0.40434113736418265
26459633,0.5529250328190685,0.14847598915571592,0.00010790629916990285,0.40434113736418265
6923766,0.5528541840495602,0.14847598915571592,0.000037057529661662716,0.40434113736418265
6770291,0.47858982747538986,0.07423799457785796,0.000010695533349252467,0.40434113736418265
27590350,0.5528350949757165,0.14847598915571592,0.000017968455817934783,0.40434113736418265
7318317,0.7754079470474577,0.14847598915571592,0.020420251845467786,0.606511706046274
7031723,0.4787049203661302,0.07423799457785796,0.00012578842408964577,0.40434113736418265
6852058,0.47858982747538986,0.07423799457785796,0.000010695533349252467,0.40434113736418265
7255721,0.5044804822407671,0.14847598915571592,0.15383392440295984,0.20217056868209132
27312965,0.5529080975246309,0.14847598915571592,0.00009097100473231103,0.40434113736418265
6712014,0.5528535274059061,0.14847598915571592,0.00003640088600755348,0.40434113736418265
7440329,0.552844976821184,0.14847598915571592,0.000027850301285447077,0.40434113736418265
6846154,0.4785978378865674,0.07423799457785796,0.000018705944526808113,0.40434113736418265
7336645,0.7709478298096828,0.14847598915571592,0.015960134607692807,0.606511706046274
27672607,0.5528446952228383,0.14847598915571592,0.000027568702939799912,0.40434113736418265
7012044,0.8090950528571286,0.14847598915571592,0.0541073576551386,0.606511706046274
7125966,0.5528584462479648,0.14847598915571592,0.00004131972806619458,0.40434113736418265
26980150,0.5528379162859705,0.14847598915571592,0.000020789766071863928,0.40434113736418265
7482108,0.5528442509304055,0.14847598915571592,0.000027124410506937206,0.40434113736418265
7115493,0.5528559592585531,0.14847598915571592,0.000038832738654511265,0.40434113736418265
7217815,0.7098109508128755,0.14847598915571592,0.15699382429297692,0.40434113736418265
6685038,0.5529561765747237,0.14847598915571592,0.0001390500548251391,0.40434113736418265
6870456,0.47860544645319053,0.07423799457785796,0.00002631451114991079,0.40434113736418265
7237426,0.5064816667320633,0.3773326714852072,0.12914899524685602,0.0
7308808,0.47860544645319053,0.07423799457785796,0.00002631451114991079,0.40434113736418265
24381993,0.5549560809032326,0.14847598915571592,0.0021389543833339572,0.40434113736418265
6771508,0.5528211739124309,0.14847598915571592,4.047392532392581e-6,0.40434113736418265
6945728,0.14854903934262603,0.14847598915571592,0.00007305018691011277,0.0
26459753,0.5528310656727994,0.14847598915571592,0.000013939152900840724,0.40434113736418265
6693953,0.5528563039683279,0.14847598915571592,0.00003917744842923716,0.40434113736418265
7020976,0.38651823471173735,0.3773326714852072,0.00918556322653016,0.0
6924707,0.5683763011470635,0.14847598915571592,0.015559174627165,0.40434113736418265
7175517,0.47860623773919886,0.07423799457785796,0.000027105797158228766,0.40434113736418265
25280961,0.552850343616218,0.14847598915571592,0.00003321709631936044,0.40434113736418265
